Model loaded in 0.2486886978149414 seconds
data num: 1000000
Encoded trajectory loaded, time: 81.11007499694824
data num: 1000
Encoded trajectory loaded, time: 0.12673735618591309
Data loaded in 81.33220791816711 seconds
start training from iteration 0
Iteration 27500     |  Loss: 0.76685381  |  Test Loss: 0.77101398  |  Test Acc: 65.05%   |  Error Rate: 6.40%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.92%  |  Length 110% rate: 36.43%   |
Iteration 28000     |  Loss: 0.76241386  |  Test Loss: 0.76613522  |  Test Acc: 65.21%   |  Error Rate: 4.80%    |  Real True Rate: 23.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.71%  |  Length 110% rate: 37.50%   |
Iteration 28500     |  Loss: 0.76449180  |  Test Loss: 0.76290482  |  Test Acc: 65.11%   |  Error Rate: 5.60%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.60%  |  Length 110% rate: 38.45%   |
Iteration 29000     |  Loss: 0.74649906  |  Test Loss: 0.76277560  |  Test Acc: 65.54%   |  Error Rate: 4.20%    |  Real True Rate: 25.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.46%  |  Length 110% rate: 37.27%   |
Iteration 29500     |  Loss: 0.73498434  |  Test Loss: 0.75640792  |  Test Acc: 65.85%   |  Error Rate: 4.40%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.16%  |  Length 110% rate: 38.91%   |
Iteration 30000     |  Loss: 0.75094301  |  Test Loss: 0.75863129  |  Test Acc: 65.79%   |  Error Rate: 5.60%    |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.21%  |  Length 110% rate: 37.50%   |
Model saved at iteration 30000
Iteration 30500     |  Loss: 0.75230926  |  Test Loss: 0.75596166  |  Test Acc: 65.97%   |  Error Rate: 3.30%    |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.76%  |  Length 110% rate: 36.81%   |
Iteration 31000     |  Loss: 0.79093820  |  Test Loss: 0.75226372  |  Test Acc: 66.23%   |  Error Rate: 4.00%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.44%  |  Length 110% rate: 37.71%   |
Iteration 31500     |  Loss: 0.78236961  |  Test Loss: 0.75573951  |  Test Acc: 66.00%   |  Error Rate: 5.20%    |  Real True Rate: 25.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.82%  |  Length 110% rate: 39.03%   |
Iteration 32000     |  Loss: 0.79912102  |  Test Loss: 0.75483966  |  Test Acc: 65.69%   |  Error Rate: 5.20%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.28%  |  Length 110% rate: 37.45%   |
Iteration 32500     |  Loss: 0.76318067  |  Test Loss: 0.75508076  |  Test Acc: 65.85%   |  Error Rate: 3.60%    |  Real True Rate: 24.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.72%  |  Length 110% rate: 36.72%   |
Iteration 33000     |  Loss: 0.76117676  |  Test Loss: 0.75987530  |  Test Acc: 65.78%   |  Error Rate: 3.90%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.48%  |  Length 110% rate: 37.57%   |
Iteration 33500     |  Loss: 0.75579280  |  Test Loss: 0.75572670  |  Test Acc: 65.85%   |  Error Rate: 4.50%    |  Real True Rate: 25.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.06%  |  Length 110% rate: 38.53%   |
Iteration 34000     |  Loss: 0.75839072  |  Test Loss: 0.75860155  |  Test Acc: 65.92%   |  Error Rate: 2.70%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.32%  |  Length 110% rate: 38.03%   |
Iteration 34500     |  Loss: 0.76949924  |  Test Loss: 0.75313032  |  Test Acc: 66.17%   |  Error Rate: 3.00%    |  Real True Rate: 24.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.29%  |  Length 110% rate: 38.04%   |
Iteration 35000     |  Loss: 0.77508444  |  Test Loss: 0.75528133  |  Test Acc: 66.00%   |  Error Rate: 2.90%    |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.72%  |  Length 110% rate: 37.38%   |
Iteration 35500     |  Loss: 0.78210646  |  Test Loss: 0.75463516  |  Test Acc: 65.84%   |  Error Rate: 1.30%    |  Real True Rate: 25.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.63%  |  Length 110% rate: 37.18%   |
Iteration 36000     |  Loss: 0.75609368  |  Test Loss: 0.75485808  |  Test Acc: 65.98%   |  Error Rate: 2.50%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.53%  |  Length 110% rate: 37.44%   |
Iteration 36500     |  Loss: 0.75430101  |  Test Loss: 0.75260544  |  Test Acc: 66.35%   |  Error Rate: 1.50%    |  Real True Rate: 24.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.98%  |  Length 110% rate: 36.55%   |
Iteration 37000     |  Loss: 0.74585134  |  Test Loss: 0.75520253  |  Test Acc: 66.21%   |  Error Rate: 2.60%    |  Real True Rate: 25.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.36%  |  Length 110% rate: 36.76%   |
